#matcher	aligned	badly aligned	not aligned	seq time	par time
leven	33.68%	25.37%	40.95%	440535.6666666667	57584.666666666664
ndleven	33.91%	24.36%	41.73%	1148005.3333333333	68758.33333333333
adagen	33.41%	36.85%	29.74%	567199.3333333334	58868.333333333336
adagen-fast	33.22%	35.31%	31.48%	154069.33333333334	54303.333333333336
ssw	33.81%	31.20%	34.99%	292158.6666666667	56250.0
