version worker chunk time (ms) time (s)
3 1 1000 1313611.3333333333 1313.6113333333333
3 2 1000 671499.3333333334 671.4993333333334
3 3 1000 457309.6666666667 457.30966666666666
3 4 1000 351712.3333333333 351.71233333333333
3 5 1000 286786.3333333333 286.7863333333333
3 6 1000 243664.0 243.664
3 7 1000 214726.33333333334 214.72633333333334
3 8 1000 189481.33333333334 189.48133333333334
3 9 1000 172634.66666666666 172.63466666666665
3 10 1000 159796.33333333334 159.79633333333334
3 11 1000 148792.66666666666 148.79266666666666
3 12 1000 136292.0 136.292
3 13 1000 140631.66666666666 140.63166666666666
3 14 1000 145301.33333333334 145.30133333333333
3 15 1000 142601.66666666666 142.60166666666666
3 16 1000 138852.33333333334 138.85233333333335
3 17 1000 137902.66666666666 137.90266666666665
3 18 1000 137359.66666666666 137.35966666666667
3 19 1000 137340.33333333334 137.34033333333335
3 20 1000 136518.0 136.518
3 21 1000 136141.66666666666 136.14166666666665
3 22 1000 137443.0 137.443
3 23 1000 138025.66666666666 138.02566666666667
