matcher worker chunk time (ms) time (s)
ndleven 1 1000 1313611.3333333333 1313.6113333333333
ndleven 2 1000 665063.6666666666 665.0636666666667
ndleven 3 1000 453590.0 453.59
ndleven 4 1000 347970.6666666667 347.97066666666666
ndleven 5 1000 283896.6666666667 283.8966666666667
ndleven 6 1000 242973.0 242.973
ndleven 7 1000 211908.66666666666 211.90866666666665
ndleven 8 1000 187772.33333333334 187.77233333333334
ndleven 9 1000 170749.66666666666 170.74966666666666
ndleven 10 1000 156730.33333333334 156.73033333333333
ndleven 11 1000 144929.33333333334 144.92933333333335
ndleven 12 1000 142055.0 142.055
ndleven 13 1000 146466.33333333334 146.46633333333335
ndleven 14 1000 143538.0 143.538
ndleven 15 1000 140096.33333333334 140.09633333333335
ndleven 16 1000 144405.66666666666 144.40566666666666
ndleven 17 1000 140477.66666666666 140.47766666666666
ndleven 18 1000 139282.66666666666 139.28266666666667
ndleven 19 1000 136204.0 136.204
ndleven 20 1000 139327.66666666666 139.32766666666666
ndleven 21 1000 139173.66666666666 139.17366666666666
ndleven 22 1000 139716.33333333334 139.71633333333335
ndleven 23 1000 143388.66666666666 143.38866666666667
ndleven 24 1000 143511.33333333334 143.51133333333334
